"Marca temporal","¿En que Ciudad y Barrio resides?","¿Con qué frecuencia utilizas un parqueadero?  ","¿Posees vehículo propio?","¿Sueles tener dificultades para encontrar parqueadero disponible? (Si no posees vehículo, piensa en las veces que sales con amigos, familiares, etc...)","¿Qué factores consideras importantes al elegir un parqueadero?   [Ubicación]","¿Qué factores consideras importantes al elegir un parqueadero?   [Precio]","¿Qué factores consideras importantes al elegir un parqueadero?   [Seguridad]","¿Qué factores consideras importantes al elegir un parqueadero?   [Disponibilidad Inmediata]","¿Qué factores consideras importantes al elegir un parqueadero?   [Experiencia del Propietario]","¿Estarías dispuesto a reservar y pagar un parqueadero desde una aplicación móvil?  ","¿Qué método de pago prefieres para este tipo de servicio?","¿Te genera confianza realizar pagos mediante PSE?  ","En caso de que uses una app para reservar un parqueadero ¿Te gustaría poder ver el historial de tus reservas?  ","¿Te parecería útil poder ver la calificación del arrendador antes de reservar?  ","Nombre (opcional)"
"2026/03/09 2:59:55 p.m. GMT-5","Barrios unidos ","Casi Nunca","No.","No","5","5","5","5","5","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí",""
"2026/03/09 3:03:14 p.m. GMT-5","Bogotá - san pablo","Ocasionalemte","Sí (Moto)","Sí","4","5","5","4","3","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí",""
"2026/03/09 3:03:23 p.m. GMT-5","Bogota- Palo Blanco","Ocasionalemte","No.","Sí","5","5","5","5","5","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí",""
"2026/03/09 3:04:50 p.m. GMT-5","Tintal","Diario","Sí (Carro)","Sí","4","4","4","4","4","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí",""
"2026/03/09 3:06:03 p.m. GMT-5","Bogota barrio palo blanco ","Casi Nunca","No.","A veces","5","5","5","4","4","Tal Vez","Efectivo","Sí","Sí","No","Daniel fernando saiz cardozo "
"2026/03/09 3:07:42 p.m. GMT-5","Bogotá - Fontibon","Varias veces por Semana","Sí (Moto)","A veces","2","2","2","2","2","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Elisabeth Cortes "
"2026/03/09 3:07:45 p.m. GMT-5","Bogotá barrio Palo Blanco","Casi Nunca","No.","No","4","3","4","3","5","Sí","Efectivo","Sí","No","Sí","Héctor Fernando Sainz"
"2026/03/09 3:07:52 p.m. GMT-5","Bogotá, barrio Acapulco ","Casi Nunca","Sí (Ambos)","Sí","5","5","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Luis Alberto Díaz Millán "
"2026/03/09 3:11:30 p.m. GMT-5","Bogotá D.C. Garcés Navas ","Diario","Sí (Moto)","A veces","4","5","5","3","4","Tal Vez","Tarjeta débito/crédito","Sí","Sí","Sí","William Fernando Murcia Lozano "
"2026/03/09 3:19:25 p.m. GMT-5","Bogota - Acapulco ","Casi Nunca","No.","Sí","5","5","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Flor Saiz"
"2026/03/09 3:20:42 p.m. GMT-5","Bogotá, Luis López de Meza","Diario","Sí (Moto)","A veces","4","5","5","5","5","Tal Vez","Efectivo","No","Sí","Sí","Miguel Angel"
"2026/03/09 3:27:05 p.m. GMT-5","Soacha Ciuda Verde","Casi Nunca","Bicicleta","A veces","5","4","5","5","3","Tal Vez","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí",""
"2026/03/09 3:37:57 p.m. GMT-5","Bogotá- Modelia","Casi Nunca","No.","A veces","5","5","5","4","5","No","Efectivo","Sí","Sí","Sí","Ingrid"
"2026/03/09 3:48:12 p.m. GMT-5","Bogota , engativa ","Casi Nunca","No.","No","4","5","5","5","3","No","Efectivo","Sí","Sí","No",""
"2026/03/09 3:55:09 p.m. GMT-5","Bogota ","Varias veces por Semana","No.","Sí","5","5","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí",""
"2026/03/09 4:17:33 p.m. GMT-5","Bogota Casa blanca","Diario","Sí (Carro)","Sí","5","5","5","5","3","Tal Vez","Tarjeta débito/crédito","Sí","Sí","Sí",""
"2026/03/09 4:21:02 p.m. GMT-5","BOGOTA","Diario","Sí (Ambos)","Sí","5","5","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí",""
"2026/03/09 4:33:12 p.m. GMT-5","Bogotá palo blanco ","Diario","Sí (Carro)","A veces","5","4","4","5","4","Tal Vez","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí",""
"2026/03/09 5:12:38 p.m. GMT-5","Bogotá ","Casi Nunca","No.","A veces","4","2","3","2","2","No","Efectivo","No","Sí","No",""
"2026/03/09 5:30:20 p.m. GMT-5","Bogotá, Victoria Norte","Ocasionalemte","No.","Sí","5","5","5","4","3","Sí","Tarjeta débito/crédito","No","Sí","Sí","Alix"
"2026/03/09 5:41:45 p.m. GMT-5","Bogotá, Villamaria","Ocasionalemte","Sí (Carro)","Sí","5","3","5","4","2","Sí","Tarjeta débito/crédito","Sí","Sí","Sí","Cata"
"2026/03/09 5:45:23 p.m. GMT-5","La Castellana","Casi Nunca","Sí (Carro)","A veces","5","4","5","5","3","Sí","Tarjeta débito/crédito","Sí","Sí","Sí",""
"2026/03/09 5:46:15 p.m. GMT-5","Bogotá Fontibon","Diario","Sí (Ambos)","Sí","5","5","5","5","5","Sí","Tarjeta débito/crédito","Sí","Sí","Sí","Duilia Guerrero"
"2026/03/09 9:21:12 p.m. GMT-5","Bosques de mariana ","Diario","Sí (Carro)","Sí","5","5","5","5","3","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Laura González "
"2026/03/10 7:08:19 p.m. GMT-5","Bogota san basilio","Diario","Sí (Ambos)","A veces","4","5","5","5","3","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Natalia "
"2026/03/11 6:48:23 a.m. GMT-5","Suba ","Ocasionalemte","No.","Sí","1","1","1","1","1","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí",""
"2026/03/11 10:34:55 a.m. GMT-5","Bogotá, el corzo","Ocasionalemte","Sí (Moto)","A veces","5","3","5","5","1","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","No","Sí","Sí","Stif"
"2026/03/11 5:48:21 p.m. GMT-5","Rionegro ","Varias veces por Semana","Sí (Carro)","Sí","3","3","3","3","3","Tal Vez","Efectivo","No","Sí","Sí","Luisa Fernanda "
